time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],masspropellant[kg],u1_vref
421.7000000000274,109545.50327995684,24550.276234253874,-7.382963449590509,-1044.5380978986268,1.4178750425574045,0.7367811478146457,-3.2874458945267255,4.70532093708413,838620.5703632663,494339.2013129368,0.3993372286987076
421.8000000000274,109544.79517030469,24446.151487372725,-7.081096521526803,-1041.2474688114878,1.5337915642361717,1.1591652167876725,-3.171796931562068,4.7055884957982395,837602.2450187408,493320.87596841133,0.39498489127604564
421.90000000002743,109544.06761630994,24342.35795172964,-7.275539947492726,-1037.935356430868,1.692104824235722,1.5831325999955015,-3.0132746437115934,4.705379467947315,836590.5641983305,492309.1951480011,0.3906329160702924
422.00000000002746,109543.33263692111,24238.889327907145,-7.349793888276756,-1034.6862382249171,1.7979397343580945,1.0583491012237247,-2.907345961957448,4.705285696315543,835587.4186935257,491306.0496431963,0.3862815196444158
422.1000000000275,109542.54705652573,24135.737626497386,-7.855803953883778,-1031.517014097585,1.8510411755521412,0.5310144119404681,-2.85373217467545,4.704773350227591,834586.4791191972,490305.11006886774,0.38193056348184196
422.2000000000275,109541.68892101759,24032.90040874495,-8.581355081418364,-1028.3721775243569,1.8512354775423434,0.0019430199020212813,-2.852809095926945,4.704044573469289,833579.2589369387,489297.8898866092,0.37757983407910256
422.3000000000275,109540.75748677544,23930.381767019444,-9.314342421450528,-1025.1864172550563,1.797983526242605,-0.5325195129973839,-2.905320193170461,4.703303719413066,832563.0681508101,488281.6991004806,0.3732293486725564
422.40000000002755,109539.77475660192,23828.18968110591,-9.827301735208744,-1021.9208591353614,1.690365748827932,-1.0761777741467282,-3.0124070281777806,4.702772777005713,831542.0720501863,487260.70299985685,0.36887940043117884
422.50000000002757,109538.78689188589,23726.33076813172,-9.87864716031581,-1018.5891297418898,1.5275397498696934,-1.6282599895823844,-3.1751511715365375,4.702690921406231,830524.6729058649,486243.30385553534,0.3645304498952975
422.6000000000276,109537.77875832283,23624.80394787574,-10.081335630492399,-1015.2682025598228,1.410995185554485,-1.1654456431520832,-3.2914643946120545,4.70245958016654,829518.18754242,485236.81849209045,0.3601829029817858
422.7000000000276,109536.79827758868,23523.60063201259,-9.804807341570058,-1012.0331586314935,1.3416875630678262,-0.6930762248665883,-3.361013493052952,4.7027010561207785,828521.469779155,484240.1007288254,0.3558368385366151
422.80000000002764,109535.8734022966,23422.715128386164,-9.248752920767192,-1008.8550362642467,1.3201220187724456,-0.21565544295380568,-3.3830996447040675,4.703221663476513,827526.3064116954,483244.9373613659,0.3514920116564577
422.90000000002766,109535.01290697568,23322.147410328365,-8.604953209152049,-1005.6771805779687,1.34681062911739,0.2668861034494435,-3.3570221829555846,4.703832812072974,826527.2173242548,482245.84827392525,0.34714829764796296
423.0000000000277,109534.20575175916,23221.902068923777,-8.07155216514095,-1002.4534140458804,1.4224263058220692,0.7561567670467928,-3.2819110507876927,4.704337356609762,825524.3176369887,481242.94858665916,0.3428058136013816
423.1000000000277,109533.41991803539,23121.984894163834,-7.858337237762229,-999.1717475994452,1.547619380870369,1.2519307504829984,-3.1569049103510043,4.704524291221373,824522.293773844,480240.92472351453,0.338464876469013
423.2000000000277,109532.60206233848,23022.397818555102,-8.178556969006893,-995.8707560873298,1.7224571216072893,1.7483774073692016,-2.9817195751453527,4.704176696752642,823526.937470916,479245.5684205864,0.3341258572241099
423.30000000002775,109531.77110649244,22923.13258105468,-8.309558460526182,-992.6523750042137,1.8376935444748739,1.1523642286758453,-2.8663245655213547,4.704018109996229,822539.9501309824,478258.58108065283,0.3297889610671887
423.4000000000278,109530.8803630757,22824.179826658805,-8.90743416737558,-989.527543958773,1.89334770908496,0.5565416461008602,-2.810039810307921,4.703387519392881,821553.1727523989,477271.8037020693,0.32545394796033333
423.5000000000278,109529.90657795174,22725.537397409924,-9.737851239647119,-986.424292488822,1.8894242107789727,-0.03923498305987283,-2.8130932214270015,4.702517432205974,820556.7318047396,476275.36275441,0.32112052547056535
423.6000000000278,109528.85011897553,22627.211178644116,-10.564589762031108,-983.2621876580649,1.8253137167844813,-0.6411049399449144,-2.876331249045645,4.701644965830126,819548.2686418224,475266.8995914928,0.31678871273525444
423.70000000002784,109527.73720927216,22529.211597831887,-11.129097033716988,-979.9958081222765,1.6998154778829393,-1.2549823890154195,-3.0012177206120203,4.70103319849496,818533.8831313918,474252.5140810622,0.31245888216375217
423.80000000002786,109526.62179396677,22431.54678244684,-11.15415305389195,-976.6481538504853,1.5118342261382982,-1.8798125174464095,-3.1891343997607264,4.700968625899025,817524.6706462732,473243.30159594363,0.30813160948292784
423.9000000000279,109525.48560593792,22334.214480233524,-11.361880288481018,-973.3230221331453,1.37798589299265,-1.3384833314564806,-3.3227303292282286,4.700716222220879,816529.7860019273,472248.4169515978,0.3038073730858206
424.0000000000279,109524.38325353371,22237.203065090052,-11.02352404215592,-970.1141514347255,1.2992310324130527,-0.7875486057959732,-3.4017953164624846,4.701026348875537,815546.9396855374,471265.5706352078,0.29948619342095784
424.10000000002793,109523.34621918912,22140.505202631317,-10.37034344594203,-966.9786245873654,1.2759380624267183,-0.23292969986334466,-3.425726848542368,4.701664910969086,814565.0812310647,470283.71218073525,0.29516767160800583
424.20000000002796,109522.38415122457,22044.12118162442,-9.62067964540861,-963.8402100689412,1.3085941303406952,0.3265606791397687,-3.3938135688597013,4.702407699200396,813577.2322854485,469295.863235119,0.2908515946460828
424.300000000028,109521.48390067162,21948.05736966689,-9.002505529431309,-960.6381195753088,1.3980337707862973,0.8943964044560204,-3.304984103228367,4.703017874014664,812583.9417892932,468302.57273896376,0.2865380872918597
424.400000000028,109520.60778939813,21852.321581024236,-8.761112734910812,-957.3578864265542,1.5451401507227531,1.4710637993645586,-3.158097739668583,4.703237890391336,811591.7708673247,467310.40181699523,0.28222754720183985
424.500000000028,109519.69319956706,21756.916219312676,-9.145898310668429,-954.053617115598,1.7499532667103006,2.048131159875475,-2.952849650587291,4.702802917297592,810608.5942147423,466327.22516441287,0.2779204398372068
424.60000000002805,109518.7615678428,21661.82979592678,-9.316317242598561,-950.8642338589497,1.887818614151443,1.3786534744114247,-2.814772943194898,4.702591557346341,809636.5509838287,465355.18193349935,0.27361698957166514
424.70000000002807,109517.75763320216,21567.0492341888,-10.039346406414875,-947.8056173798044,1.9592865726562139,0.7146795850477088,-2.7425106040993343,4.701797176755548,808664.3308359993,464382.96178566996,0.26931679243089857
424.8000000000281,109516.65140775566,21472.570702095283,-11.062254464912263,-944.7853209351606,1.9648710972150965,0.05584524558882631,-2.7358096688954228,4.700680766110519,807678.1761803251,463396.8071299958,0.2650193665877265
424.9000000000281,109515.43805859727,21378.401100243926,-12.133491583938266,-941.6960185135865,1.9041022373810472,-0.6076885983404914,-2.7954027337684204,4.699504971149468,806673.9550579628,462392.5860076335,0.2607246445386662
425.00000000002814,109514.14110626701,21284.554405979914,-12.969523302611176,-938.466942640115,1.7754186865081047,-1.2868355087294248,-2.9231512693313926,4.698569955839497,805658.7806920429,461377.4116417136,0.25643304639962916
425.10000000002816,109512.81568043219,21191.043701422044,-13.254258348178109,-935.10704557869,1.5769584553071803,-1.984602312009244,-3.121257419541173,4.698215874848353,804647.4503644519,460366.0813141225,0.25214531887024494
425.2000000000282,109511.5480994831,21097.86992573947,-12.675809490914888,-931.7377568257554,1.308416393990869,-2.6854206131631115,-3.390368943669459,4.698785337660328,803654.4293515979,459373.06030126853,0.2478621736702482
425.3000000000282,109510.33475692397,21005.01173935079,-12.13342559125753,-928.5818638867959,1.1031955339073236,-2.052208600835455,-3.596127570872692,4.6993231047800155,802682.2689076917,458400.8998573623,0.2435837698470742
425.40000000002823,109509.2558363262,20912.44037375441,-10.789205977654047,-925.7136559638047,0.9594461520491683,-1.437493818581553,-3.7412883416429934,4.700734493692162,801709.3481730149,457427.9791226855,0.23930923963414652
425.50000000002825,109508.37079424807,20820.136881403538,-8.850420781422141,-923.0349235087297,0.8744518602518575,-0.8499429179731081,-3.8283490218462384,4.702800882098096,800707.3952653066,456426.0262149771,0.23503736189280855
425.6000000000283,109507.72284349897,20728.09629002738,-6.479507490987917,-920.4059137615711,0.846205131738769,-0.2824672851308855,-3.85914412806467,4.705349259803439,799657.5768260293,455376.2077756999,0.2307673569440103
425.7000000000283,109507.33733520357,20636.328536487363,-3.855082954001914,-917.6775354001767,0.8742794844132294,0.2807435267446041,-3.8339086082654936,4.708188092678723,798554.8522378154,454273.48318748595,0.22649908510874073
425.8000000000283,109507.21585059754,20544.857402261903,-1.2148460603735542,-914.7113422545876,0.9601685304641199,0.8588904605089044,-3.750892331103227,4.711060861567347,797409.0608334597,453127.69178313034,0.22223309811806824
425.90000000002834,109507.32824896771,20453.715781225394,1.1239837017356016,-911.416210365086,1.107138539308514,1.4697000884439424,-3.6064836681344064,4.713622207442921,796244.0443129394,451962.67526260996,0.2179705978483628
426.00000000002836,109507.6063443749,20362.935500932632,2.7809540719999086,-907.8028029276293,1.3194492501607944,2.123107108522803,-3.3960031106892603,4.715452360850055,795093.1184702426,450811.7494199131,0.21371322273015014
426.1000000000284,109507.94426995254,20272.532510130648,3.3792557764336246,-904.0299080198367,1.6006169092843048,2.811676591235103,-3.115510044819635,4.71612695410394,793988.987392959,449707.61834262946,0.20946257557229275
426.2000000000284,109508.334919573,20182.493584768155,3.906496204570181,-900.3892536249227,1.8057622282000056,2.0514531891570074,-2.910965399805175,4.716727628005181,792948.7031386998,448667.33408837026,0.20521952678518018
426.30000000002843,109508.6921632703,20092.78513032207,3.572436973035397,-897.0845444608573,1.934206117487458,1.2844388928745243,-2.7821651164214543,4.716371233908912,791959.2616345063,447677.89258417673,0.20098357928865962
426.40000000002846,109508.96621536867,20003.38463906471,2.740520983607687,-894.0049125736239,1.986931686621027,0.5272556913356876,-2.7285227270302386,4.7154544136512655,790987.0726046934,446705.70355436386,0.19675326792958736
426.5000000000285,109509.13575168069,19914.286523881394,1.695363120210675,-890.9811518331529,1.9643950605936984,-0.22536626027328432,-2.7498967221910338,4.714291782784732,790009.6172301448,445728.2481798153,0.19252763694555997
426.6000000000285,109509.20825352633,19825.499246492796,0.7250184563810149,-887.8727738859824,1.8656052750758338,-0.9878978551786455,-2.8476002843464814,4.713205559422315,789021.4875884713,444740.11853814183,0.18830652287049476
426.7000000000285,109509.22424510203,19737.03771119431,0.15991575701798355,-884.615352984873,1.6884668113948558,-1.7713846368097799,-3.0241029433283493,4.712569754723205,788031.5936783861,443750.2246280567,0.18409042732991465
426.80000000002855,109509.25985061348,19648.911022755943,0.35605511452873184,-881.2668843836733,1.4315489384834414,-2.569178729114143,-3.2812440683108006,4.712793006794242,787055.5240579462,442774.1550076168,0.17988016227381687
426.90000000002857,109509.28804939639,19561.107441433323,0.281987829131956,-878.0358132261902,1.2491891044062995,-1.8235983407714205,-3.4635210335156903,4.71271013792199,786103.0447894832,441821.67573915387,0.17567626878767695
427.0000000000286,109509.3802574878,19473.605752475476,0.9220809141045572,-875.0168895784808,1.1410745089793908,-1.0811459542690862,-3.57236825743363,4.713442766413021,785162.6000542669,440881.23100393754,0.17147829377501078
427.1000000000286,109509.57924653894,19386.394683325583,1.989890511374148,-872.1106914989315,1.1061108448146668,-0.3496366416472392,-3.60855982650395,4.714670671318617,784212.8122649799,439931.4432146506,0.16728532413643804
427.20000000002864,109509.90192655251,19299.47701747289,3.2268001357021636,-869.1766585269226,1.1441941652606693,0.3808332044600239,-3.5719072771186107,4.71610144237928,783242.3545277666,438960.98547743727,0.16309691531023418
427.30000000002866,109510.33629289354,19212.86710281397,4.343663410186069,-866.0991465892051,1.2568285511439368,1.1263438588326755,-3.460575590622891,4.717404141766828,782254.2406569056,437972.87160657626,0.15891329489366268
427.4000000000287,109510.83635509189,19126.583283229127,5.000621983423072,-862.8381958484055,1.4465584033730667,1.8972985222912995,-3.271626062214967,4.718184465588034,781263.4553752266,436982.08632489725,0.15473524983856635
427.5000000000287,109511.3201035429,19040.635304801588,4.837484510088492,-859.4797842753891,1.7150461174280505,2.684877140549836,-3.0029711901352005,4.718017307563251,780289.4019419187,436008.03289158933,0.15056376627058565
