#{"t_start": 1741813880.028079, "env_id": "None"}
r,l,t
-0.042518,1,102.012927
-0.035445,117,103.591941
-0.038124,115,105.174837
-0.042554,1,105.188371
-0.042518,1,105.201892
-0.029525,121,106.826741
-0.037344,85,107.967876
-0.042518,1,107.982386
-0.042518,1,107.996124
-0.0425,1,108.011358
-0.035025,95,109.165159
-0.043693,87,110.166082
-0.042532,1,110.177535
-0.042518,1,110.189121
-0.042518,1,110.20054
-0.042506,1,110.211776
-0.042542,1,110.222945
-0.042545,1,110.234113
-0.04251,1,110.245862
-0.042592,3,110.279402
-0.042612,1,110.290827
-0.042518,1,110.302484
-0.042652,80,111.216058
-0.042467,1,111.227309
-0.042566,2,111.249707
-0.042483,1,111.261063
-0.042567,1,111.272387
-0.042537,2,111.298034
-0.04246,2,111.332677
-0.042544,1,111.349334
-0.042603,1,111.36092
-0.042499,1,111.372347
-0.042518,1,111.384022
-0.042518,1,111.395394
-0.042619,3,111.428958
-0.042593,2,111.451398
-0.042518,1,111.462618
-0.042598,2,111.484908
-0.042051,77,112.380503
-0.031732,108,113.630216
-0.035556,90,114.67326
-0.042518,1,114.68463
-0.042484,2,114.707176
-0.042518,1,114.718403
-0.042547,3,114.752259
-0.042477,1,114.763545
-0.042616,2,114.785791
-0.042542,1,114.796967
-0.042518,1,114.808176
-0.042608,1,114.819333
-0.042555,1,114.830457
-0.042471,1,114.842494
-0.042568,1,114.855205
-0.042518,1,114.866587
-0.042484,1,114.877679
-0.042582,1,114.888867
-0.042518,1,114.900053
-0.042516,1,114.91183
-0.037662,98,116.025143
-0.042518,1,116.037099
-0.042467,1,116.048473
-0.042566,3,116.08182
-0.042516,2,116.104533
-0.042518,1,116.116128
-0.039219,104,117.295492
-0.042518,1,117.307243
-0.042518,1,117.319178
-0.042553,1,117.33058
-0.044081,95,118.419603
-0.042518,1,118.431252
-0.038614,83,119.559756
-0.042507,1,119.573855
-0.042531,1,119.588055
-0.027486,123,121.091123
-0.042527,1,121.10241
-0.036077,86,122.087709
-0.042518,1,122.099203
-0.036961,90,123.132412
-0.042518,1,123.14386
-0.04257,2,123.166711
-0.042518,1,123.178174
-0.042518,1,123.189682
-0.035143,103,124.390029
-0.041373,98,125.528705
-0.042519,1,125.540544
-0.042513,1,125.551722
-0.039288,80,126.467453
-0.042518,1,126.478785
-0.040452,83,127.418906
-0.042475,1,127.430264
-0.042518,1,127.441585
-0.042518,1,127.452933
-0.042486,1,127.464216
-0.03247,111,128.719409
-0.042502,2,128.742012
-0.042534,2,128.764207
-0.042499,1,128.775345
-0.042518,1,128.786553
-0.040176,77,129.686578
-0.042544,1,129.697958
-0.042515,1,129.709173
-0.037719,84,130.659945
-0.042518,1,130.671269
-0.042519,1,130.682601
-0.04252,1,130.693893
-0.04248,1,130.705213
-0.04251,1,130.716373
-0.042583,1,130.727603
-0.04247,1,130.739527
-0.042579,1,130.750762
-0.04292,7,130.828469
-0.041596,69,131.612031
-0.042493,1,131.6234
-0.04248,2,131.645953
-0.04253,1,131.657224
-0.042648,4,131.702673
-0.042539,1,131.71425
-0.042518,1,131.725812
-0.042518,1,131.736973
-0.035193,124,133.138568
-0.042504,1,133.149926
-0.042524,1,133.161214
-0.033006,111,134.425064
-0.04242,5,134.481056
-0.042577,1,134.492245
-0.042518,1,134.503942
-0.042503,1,134.519176
-0.042532,2,134.544987
-0.030803,123,135.933342
-0.042251,68,136.706521
-0.042493,1,136.717902
-0.042518,1,136.729143
-0.042564,1,136.740394
-0.042377,86,137.71897
-0.044095,106,138.91785
-0.042614,4,138.962347
-0.042518,1,138.973824
-0.037897,85,139.955338
-0.042527,1,139.966662
-0.042518,1,139.980254
-0.042591,2,140.003252
-0.042479,1,140.019171
-0.037732,121,141.386921
-0.042469,1,141.39821
-0.037814,83,142.338528
-0.037561,96,143.422082
-0.043956,26,143.722625
-0.038638,81,144.654594
-0.039139,117,145.974041
-0.040203,81,146.892074
-0.04259,3,146.925641
-0.042592,66,147.677907
-0.035569,81,148.595216
-0.042582,2,148.617785
-0.038033,121,150.06321
-0.037058,98,151.191855
-0.030074,96,152.290441
-0.038564,82,153.230218
-0.04013,106,154.453421
-0.038611,98,155.583983
-0.037555,103,156.75991
-0.03855,98,157.881208
-0.042497,1,157.892678
-0.041029,89,158.910932
-0.028669,109,160.187217
-0.034773,101,161.3411
-0.038679,81,162.267565
-0.034593,111,163.535677
-0.038985,74,164.378149
-0.040026,76,165.269716
-0.041561,82,166.395579
-0.042521,4,166.453845
-0.038616,105,167.700588
-0.042468,1,167.712337
-0.042482,1,167.723857
-0.041936,92,168.778085
-0.035608,124,170.218937
-0.041002,74,171.066147
-0.037813,110,172.328222
-0.040418,112,173.635012
-0.040367,86,174.633152
-0.032477,115,175.948382
-0.042476,1,175.959854
-0.044604,98,177.081815
-0.039152,126,178.519003
-0.03598,82,179.454587
-0.040925,80,180.385876
-0.04251,1,180.397276
-0.040723,106,181.62058
-0.042535,2,181.643699
-0.045653,92,182.715777
-0.03784,75,183.592808
-0.038834,92,184.661258
-0.045652,80,185.59555
-0.042652,5,185.654865
-0.042659,5,185.713767
-0.037188,79,186.621438
-0.038148,101,187.774784
-0.042442,105,188.972498
-0.042414,94,190.076167
-0.033111,91,191.112227
-0.042261,81,192.034889
-0.043511,110,193.288541
-0.043548,63,194.007911
-0.043691,96,195.131884
-0.037971,82,196.068188
-0.039928,69,196.851648
-0.041085,69,197.645097
-0.045366,59,198.321681
-0.037594,93,199.385675
-0.045563,88,200.408885
-0.03707,81,201.340005
-0.038999,72,202.166206
-0.03709,85,203.137173
-0.041939,74,203.980849
-0.038137,75,204.848861
-0.040178,85,205.836759
-0.04211,87,206.833024
-0.043714,100,207.976042
-0.040895,75,208.83822
-0.038813,94,209.927969
-0.04317,85,210.907405
-0.036496,87,211.903399
-0.043788,54,212.577637
-0.042733,104,213.992177
-0.041061,72,215.015041
-0.043393,85,216.236478
-0.042444,74,217.240743
-0.036619,80,218.321711
-0.043736,55,219.06774
-0.038929,69,220.00109
-0.043047,92,221.289538
-0.042317,69,222.224829
-0.044942,49,222.880269
-0.041023,69,223.816962
-0.045383,55,224.558993
-0.042352,86,225.747789
-0.044334,41,226.300224
-0.044084,44,226.889148
-0.044798,57,227.652183
-0.043289,94,228.901833
-0.041603,64,229.760409
-0.045406,49,230.442404
-0.043072,104,231.851515
-0.038669,70,232.792939
-0.039837,98,234.119002
-0.040145,82,235.275774
-0.042668,56,236.07859
-0.042268,79,237.145617
-0.044213,66,238.024225
-0.041268,81,239.107985
-0.042356,82,240.207216
-0.035644,86,241.393922
-0.043117,98,242.502242
-0.041452,56,243.150005
-0.040992,66,243.894854
-0.043583,87,244.881659
-0.04374,90,245.9324
-0.043315,91,246.959559
-0.043166,94,248.026576
-0.041896,83,248.963834
-0.041935,66,249.718287
-0.040753,95,250.826331
-0.040869,91,251.867038
-0.040774,98,252.976324
-0.041531,94,254.053859
-0.04205,61,254.748765
-0.042092,64,255.491972
-0.039981,90,256.541332
-0.0412,59,257.21333
-0.041303,101,258.700882
-0.039933,86,259.697488
-0.042321,57,260.359897
-0.042206,78,261.254988
-0.041057,62,261.956379
-0.039729,81,262.877702
-0.042514,63,263.598544
-0.038014,78,264.481397
-0.040273,93,265.549368
-0.042828,93,266.623422
-0.040438,98,267.738523
-0.039967,83,268.685246
-0.042,95,269.768248
-0.040087,93,270.879433
-0.038201,79,271.779608
-0.034113,92,272.82373
-0.03892,90,273.934813
-0.038327,85,274.914703
-0.036919,113,276.22528
-0.03754,85,277.190648
-0.036825,90,278.214596
-0.037485,82,279.156277
-0.036162,93,280.211921
-0.042139,113,281.52336
-0.035056,104,282.714297
-0.037621,96,283.807535
-0.040862,104,284.99372
-0.037657,82,285.953715
-0.042115,68,286.740211
-0.030932,109,287.98965
-0.042615,84,288.958812
-0.041237,105,290.164493
-0.038918,102,291.352373
-0.041721,71,292.168845
-0.041133,100,293.315123
-0.039369,87,294.315334
-0.044948,106,295.519486
-0.044684,107,296.751023
-0.040705,74,297.592873
-0.039944,97,298.693946
-0.042195,72,299.510592
-0.04083,70,300.306593
-0.042104,66,301.082121
-0.040764,73,301.908427
-0.042629,64,302.643595
-0.040911,105,303.849365
-0.04339,96,304.947994
-0.040303,107,306.193988
-0.041,63,306.908337
-0.041722,65,307.650235
-0.042372,101,308.796052
-0.0423,65,309.537992
-0.042331,69,310.317581
-0.037098,110,311.604004
-0.040938,113,312.898713
-0.042316,61,313.596857
-0.04227,68,314.367834
-0.042777,61,315.068172
-0.039749,98,316.203273
-0.038856,74,317.051549
-0.038992,74,317.898704
-0.040886,69,318.692745
-0.03933,70,319.49062
-0.037343,77,320.375353
-0.039327,74,321.245538
-0.038762,76,322.11164
-0.038716,95,323.186229
-0.038665,73,324.021399
-0.038979,82,324.950176
-0.039529,73,325.779514
-0.040172,73,326.624135
-0.039291,79,327.513095
-0.041091,72,328.32987
-0.04022,75,329.183097
-0.040774,80,330.088995
-0.040639,83,331.028444
-0.04234,85,331.982153
-0.041531,81,332.896782
-0.041545,86,333.877966
-0.041218,75,334.73483
-0.041942,93,335.796808
-0.041596,85,336.779179
-0.041911,77,337.659581
-0.04222,90,338.685219
-0.042287,86,339.665593
-0.041074,85,340.664275
-0.040903,79,341.609226
-0.041785,77,342.508604
-0.042095,85,343.492229
-0.042091,85,344.453876
-0.042025,84,345.40439
-0.041729,87,346.388405
-0.041657,81,347.30613
-0.041224,81,348.225634
-0.041211,78,349.108611
-0.041495,80,350.012502
-0.041173,77,350.886352
-0.040434,76,351.759193
-0.040972,76,352.792896
-0.041217,76,353.857849
-0.040021,78,355.226772
-0.040487,79,356.375301
-0.040605,73,357.482471
-0.040455,77,358.583168
-0.03985,76,359.613489
-0.04054,79,360.680839
-0.03783,86,361.829057
-0.040731,74,362.821299
-0.038723,81,363.948258
-0.039849,98,365.263702
-0.040676,95,366.547723
-0.040363,107,367.975478
-0.041863,103,369.189173
-0.041545,99,370.312397
-0.041966,106,371.51313
-0.040971,103,372.679461
-0.039505,97,373.802856
-0.042552,102,374.959426
-0.040572,84,375.90894
-0.040351,80,376.810146
-0.041687,84,377.764431
-0.041579,88,378.788158
-0.041002,82,379.730343
-0.041834,90,380.757457
-0.041588,88,381.751563
-0.04196,86,382.76284
-0.041344,85,383.756675
-0.043441,92,384.798479
-0.042359,91,385.823992
-0.04298,92,386.863011
-0.042829,91,387.891565
-0.043996,91,388.955525
-0.042634,95,390.040487
-0.042887,90,391.058725
-0.043626,92,392.090048
-0.044618,95,393.15815
-0.043703,94,394.237017
-0.044301,96,395.317206
-0.043273,95,396.384819
-0.043649,93,397.42841
-0.043772,95,398.51893
-0.044556,97,399.620922
-0.043969,96,400.704416
-0.042741,95,401.777931
-0.041402,109,403.012169
-0.042001,102,404.190279
-0.040529,106,405.392516
-0.034743,96,406.805064
-0.041747,103,408.154183
-0.041165,95,409.510732
-0.043069,96,410.768275
-0.037471,93,412.049802
-0.04181,99,413.53327
-0.043008,98,415.22274
-0.04027,101,416.688194
-0.04197,98,418.210101
-0.041504,97,419.365084
-0.040526,101,420.538243
-0.041288,100,421.747071
-0.040159,95,422.814022
-0.042128,96,424.055658
-0.042341,98,425.380214
-0.042371,90,426.669773
-0.042168,98,428.054377
-0.043462,90,429.247425
-0.04386,88,430.277544
-0.044086,88,431.294423
