Time [s],Altitude [m],Velocity [m/s],Non-NominalThrottle,Propellant Mass [kg],Total Mass [kg]
34.31352222564358,2290.8689228943554,-69.74556565691128,0.8310918592632862,506219.79977813654,874232.7063000244
34.4970169969037,2278.0965721709654,-69.60747907646349,0.8308773774499517,505733.21730937023,873746.1238312582
34.68051176816383,2265.349508936738,-69.46893635525035,0.8306627155057209,505246.7605519804,873259.6670738682
34.864006539423954,2252.627816723719,-69.32993678529687,0.8304481913704376,504760.4294252627,872773.3359471506
35.04750131068408,2239.931579193606,-69.19048213218632,0.8302327420742208,504274.2244710143,872287.1309929022
35.23099608194421,2227.260879684767,-69.0505706938224,0.8300178566092755,503788.14535904163,871801.0518809295
35.414490853204335,2214.615801847273,-68.91020237230448,0.8298028450276931,503302.19216320175,871315.0986850896
35.597985624464464,2201.9964293491216,-68.76937780357315,0.8295873922129753,502816.36514189176,870829.2716637796
35.781480395724586,2189.4028457418535,-68.62809566674001,0.8293723366310253,502330.66406248225,870343.57058437
35.964975166984715,2176.8351348189,-68.48635676007594,0.8291567691786721,501845.08922473725,869857.9957466251
36.14846993824484,2164.2933802275065,-68.34416106869776,0.8289410381232323,501359.6407244668,869372.5472463546
36.331964709504966,2151.777665617645,-68.2015077439461,0.828725499664543,500874.31844888156,868887.2249707694
36.51545948076509,2139.2880747947,-68.05839707276253,0.8285096670234811,500389.12257026194,868402.0290921498
36.69895425202522,2126.824691511509,-67.91483008199349,0.8282932237688517,499904.05344619846,867916.9599680863
36.882449023285346,2114.3875993328656,-67.7708045132528,0.8280775736244854,499419.110612226,867432.0171341139
37.06594379454547,2101.976882237136,-67.6263211577105,0.8278614121585048,498934.29436778725,866947.2008896752
37.2494385658056,2089.5926240578024,-67.4813805088275,0.8276448666308505,498449.6049377982,866462.5114596861
37.43293333706572,2077.234908537979,-67.3359804991637,0.8274290292510973,497965.04190754995,865977.9484294378
37.61642810832585,2064.9038197993873,-67.1901218978462,0.827212688507015,497480.6055718251,865493.512093713
37.79992287958597,2052.5994418228993,-67.04380469763893,0.8269961753922186,496996.29603156826,865009.2025534562
37.9834176508461,2040.3218585907123,-66.8970284434807,0.8267796801377094,496512.1132763199,864525.0197982078
38.16691242210623,2028.0711541683581,-66.74979320323231,0.8265629792812063,496028.0574264858,864040.9639483737
38.35040719336635,2015.8474126089413,-66.60209809703437,0.8263464756030103,495544.1283665934,863557.0348884813
38.53390196462648,2003.6507181266932,-66.4539435067149,0.8261296313467758,495060.32629609364,863073.2328179815
38.7173967358866,1991.4811548659213,-66.30532868845346,0.8259129247839669,494576.6511343499,862589.5576562377
38.90089150714673,1979.338807107148,-66.15625317507254,0.8256962372630714,494093.1028702106,862106.0093920985
39.08438627840685,1967.2237592164488,-66.0067166005679,0.8254795249358854,493609.68151820306,861622.5880400909
39.26788104966698,1955.136095626924,-65.85672010975487,0.8252621458489144,493126.3874687984,861139.2939906863
39.45137582092711,1943.0759005620275,-65.70626122449464,0.8250456372328365,492643.22021222714,860656.126734115
39.634870592187234,1931.0432586990282,-65.5553426399437,0.8248278032366815,492160.1805246649,860173.0870465527
39.81836536344736,1919.0382542216378,-65.40396040312697,0.8246114627644773,491677.2675314668,859690.1740533547
40.001860134707485,1907.060972037467,-65.25211722238906,0.8243937906768415,491194.48201246007,859207.388534348
40.185354905967614,1895.1114965581537,-65.0998107623199,0.8241769239071124,490711.82349603047,858724.7300179184
40.368849677227736,1883.1899126230142,-64.94704094566072,0.8239599045194628,490229.2920715548,858242.1985934427
40.552344448487865,1871.2963050855128,-64.79380873364808,0.8237422928048432,489746.88808591454,857759.7946078024
40.735839219747994,1859.430758623085,-64.64011268531151,0.8235251044445953,489264.6112911828,857277.5178130707
40.919333991008116,1847.5933581770478,-64.48595360261962,0.823307390160237,488782.46199535386,856795.3685172417
41.102828762268246,1835.7841885418557,-64.33132954977204,0.8230903061521863,488300.4398293222,856313.34635121
41.28632353352837,1824.0033348664617,-64.17624106168175,0.822872807539651,487818.54503589054,855831.4515577784
41.4698183047885,1812.2508822018617,-64.02068613255568,0.8226559659949624,487336.7772302636,855349.6837521514
41.65331307604862,1800.5269159663676,-63.86466716644503,0.822437920102757,486855.1371177372,854868.0436396251
41.83680784730875,1788.8315211380434,-63.708181454146825,0.8222208261115465,486373.6241408545,854386.5306627424
42.02030261856888,1777.1647831910827,-63.55123004037241,0.822003100129427,485892.23866972513,853905.145191613
42.203797389829,1765.526787408364,-63.393810413312345,0.8217862397143504,485410.9801974514,853423.8867193393
42.38729216108913,1753.9176195327477,-63.235923966174674,0.8215685991747337,484929.84918089374,852942.7557027816
42.57078693234925,1742.337365051959,-63.07757011482165,0.8213510107678526,484448.8455895218,852461.7521114097
42.75428170360938,1730.786109560695,-62.918747105901154,0.8211339649271869,483967.96910559543,851980.8756274832
42.9377764748695,1719.2639389747403,-62.75945615601128,0.8209162119484879,483487.2201432322,851500.12666512
