time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],mass[kg],gimbalanglecommanded[deg],u0
113.39999999999783,20225.445391135967,54596.85454178042,525.8580773839856,936.6543041299416,2.4524962427435364,0.09599202950871023,1.3932698956352778,3775545.010199118,7.484214977858155,0.16631588839684788
113.49999999999783,20277.992306864035,54690.44761397658,525.4691572806868,935.9307219616151,2.4619805643842367,0.09484321640699965,1.4027682834694355,3775065.3247469557,7.437486408887269,0.1652774757530504
113.59999999999782,20330.50011053277,54783.967983375296,525.0780366873303,935.2036939871117,2.47135045688569,0.09369892501453637,1.4121520476030864,3774585.6392947934,7.389493771617904,0.16421097270262008
113.69999999999781,20382.968588699216,54877.41530929108,524.6847816644793,934.4732591578426,2.480606402034439,0.09255945148749131,1.4214217054859042,3774105.953842631,7.340304077090881,0.16311786837979736
113.79999999999781,20435.397534343698,54970.78925497582,524.2894564448306,933.7394568474277,2.489748909925468,0.09142507891029159,1.430577801297861,3773626.268390469,7.28998231026527,0.16199960689478377
113.8999999999978,20487.78674669074,55064.08948765585,523.8921234704313,933.0023268003542,2.4987785176922634,0.09029607766795375,1.4396209047283826,3773146.5829383065,7.238591478923924,0.16085758842053163
113.9999999999978,20540.13603103374,55157.315678564155,523.4928434299886,932.2619090830424,2.507695788273278,0.08917270581014923,1.448551609790983,3772666.897486144,7.1861926616609395,0.159693170259132
114.09999999999779,20592.44519856336,55250.46750296788,523.091675296204,931.5182440372412,2.5165013092139876,0.08805520940709313,1.457370533672549,3772187.212033982,7.132845054946024,0.15850766788768944
114.19999999999779,20644.714066199667,55343.544640191445,522.6886763630641,930.771372235675,2.5251956915037237,0.08694382289735535,1.4660783156164507,3771707.5265818196,7.078606019284013,0.15730235598408918
114.29999999999778,20696.94245642797,55436.54677363543,522.2839022830294,930.0213344398635,2.5337795684464925,0.08583876942769869,1.4746756158386625,3771227.8411296573,7.023531124447736,0.1560784694321719
114.39999999999777,20749.130197138376,55529.47359079144,521.8774071040646,929.2681715600389,2.5422535945649987,0.08474026118505566,1.4831631144761102,3770748.155677495,6.96767419381899,0.15483720430708867
114.49999999999777,20801.277121469022,55622.32478325314,521.4692433064602,928.5119246170866,2.5506184445370743,0.08364849972075822,1.4915415105664487,3770268.470225333,6.911087347824608,0.15357971884054686
114.59999999999776,20853.38306765296,55715.10004672378,521.0594618393992,927.7526347064356,2.5588748121637885,0.08256367626714133,1.4998115210585203,3769788.7847731705,6.853821046477911,0.1523071343661758
114.69999999999776,20905.447878868683,55807.799081020166,520.6481121572257,926.9903429638276,2.5670234093684527,0.0814859720466419,1.5079738798527242,3769309.099321008,6.795924131050452,0.1510205362455656
114.79999999999775,20957.47140309422,55900.421590073456,520.2352422553766,926.2250905328939,2.5750649652258044,0.08041555857351948,1.516029336870576,3768829.413868846,6.737443864856623,0.14972097477459162
114.89999999999775,21009.453492964814,55992.9672819269,519.8208987059434,925.4569185344732,2.5830002250206374,0.07935259794832529,1.5239786571527232,3768349.7284166836,6.678425973192049,0.14840946607093441
