time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],masspropellant[kg],u0,u1,u2,u3
412.12999999998846,13462.688345068587,14751.811745666266,0.1530940800578011,-536.6528096988462,1.5596742282898635,0.0010722404874062557,-3.1530000279251915,4.712674256215055,301668.4842169447,28616.756735823154,-0.19882899184044298,-0.9776298646551368,0.0,0.0
412.13999999998845,13462.689995526182,14746.446977929692,0.16504575945718203,-536.476773657325,1.5596849860786286,0.0010757788765226675,-3.153011641835935,4.712696627914563,301647.20522227994,28595.477741158396,-0.19874245010540217,-0.977688246517937,0.0,0.0
412.14999999998844,13462.691765433006,14741.083970115418,0.1769906824855873,-536.3007814273844,1.5596957792116104,0.001079313298176711,-3.153023222463723,4.7127190016753335,301625.9317258316,28574.204244710047,-0.19865533316207418,-0.9777466157975141,0.0,0.0
412.15999999998843,13462.693654721194,14735.722721785334,0.18892881867824998,-536.1248330083642,1.5597066076490747,0.0010828437464217833,-3.1530347697879915,4.712741377437066,301604.6637263488,28552.93624522722,-0.19856763975357503,-0.9778049724840457,0.0,0.0
412.1699999999884,13462.695663322569,14730.363232501339,0.20086013757011112,-535.9489283995995,1.5597174713512278,0.0010863702153233931,-3.1530462837881497,4.7127637551393775,301583.40122258046,28531.673741458922,-0.19847936986300402,-0.9778633165762585,0.0,0.0
412.1799999999884,13462.697791168655,14725.005501825335,0.2127846086954866,-535.7730676004136,1.5597283702782174,0.0010898926989590019,-3.153057764443589,4.7127861347218065,301562.144213275,28510.41673215344,-0.19839052127991927,-0.9779216480666946,0.0,0.0
412.1899999999884,13462.700038190671,14719.649529319235,0.22470220158817544,-535.5972506101232,1.5597393043901315,0.001093411191418095,-3.153069211733677,4.7128085161238085,301540.89269718033,28489.16521605878,-0.19830109402960377,-0.9779799669522617,0.0,0.0
412.1999999999884,13462.702404319529,14714.295314544954,0.23661288578139617,-535.4214774280339,1.5597502736469995,0.0010969256868021426,-3.1530806256377595,4.712830899284759,301519.64667304384,28467.919191922283,-0.1982110867643028,-0.9780382732258659,0.0,0.0
412.2099999999884,13462.704889485836,14708.94285706442,0.24851663080734346,-535.2457480534453,1.5597612780087917,0.0011004361792244525,-3.1530920061351573,4.712853284143949,301498.4061396126,28446.678658491062,-0.19812049829547435,-0.9780965668851422,0.0,0.0
412.2199999999884,13462.707493619899,14703.592156439563,0.2604134061973342,-535.0700624856453,1.5597723174354199,0.0011039426628102103,-3.1531033532051707,4.7128756706405905,301477.17109563306,28425.44361451153,-0.19802932761183456,-0.9781548479226331,0.0,0.0
412.22999999998837,13462.710216651714,14698.243212232324,0.2723031814817293,-534.8944207239152,1.5597833918867368,0.001107445131696475,-3.153114666827074,4.712898058713811,301455.94153985137,28404.214058729813,-0.1979375743046254,-0.978213116335246,0.0,0.0
412.23999999998836,13462.713058510975,14692.896024004649,0.28418592618966043,-534.7188227675266,1.5597945013225372,0.0011109435800320652,-3.1531259469801167,4.712920448302654,301434.717471013,28382.98998989149,-0.19784523668607779,-0.9782713721171603,0.0,0.0
412.24999999998835,13462.716019127074,14687.550591318492,0.29606160984886265,-534.543268615742,1.5598056457025569,0.001114438001977503,-3.153137193643526,4.712942839346083,301413.4988878632,28361.771406741653,-0.19775231370611113,-0.9783296152632829,0.0,0.0
412.25999999998834,13462.719098429094,14682.206913735814,0.307930201985833,-534.3677582678166,1.559816824986474,0.0011179283917050887,-3.1531484067965034,4.712965231782977,301392.28578914655,28340.55830802505,-0.1976588051194094,-0.9783878457697938,0.0,0.0
412.26999999998833,13462.722296345815,14676.864990818583,0.31979167212564963,-534.1922917229941,1.5598280391339079,0.001121414743398822,-3.153159586418221,4.712987625552129,301371.07817360724,28319.350692485757,-0.19756470937517678,-0.978446063629599,0.0,0.0
412.2799999999883,13462.725612805712,14671.524822128778,0.3316459897912983,-534.0168689805128,1.5598392881044205,0.001124897051254166,-3.1531707324878315,4.713010020592252,301349.8760399891,28298.14855886764,-0.19747002475292508,-0.9785042688405156,0.0,0.0
412.2899999999883,13462.729047736957,14666.186407228382,0.34349312450456965,-533.8414900395992,1.5598505718575153,0.001128375309478385,-3.1531818449844566,4.713032416841972,301328.6793870354,28276.951905913895,-0.19737475192843207,-0.9785624613952677,0.0,0.0
