time,x,y,vx,vy,theta,theta_dot,alpha,mass,MomentsApplied,ParallelThrust,PerpendicularThrust
88.32,8057.75233735504,30683.1062826915,358.232697614855,829.71563713896,1.12881570999222,-0.0100014152651853,0.0344035606114224,4937488.01362806,-24727312.0693692,138060164.053794,-520982.415826122
88.33,8061.33466433119,30691.4034390629,358.351264414528,829.87159969365,1.12871569583956,-0.0100145418461547,0.0344515436100501,4937104.27008505,-24654349.7301076,138060265.197021,-519442.495519642
88.34,8064.91817697534,30699.7021550598,358.469868696032,830.027569370686,1.1286155504211,-0.0100276299600733,0.0344996448290895,4936720.52651521,-24581136.3592947,138060366.363276,-517897.302080347
88.35,8068.5028756623,30708.0024307535,358.588510506922,830.183546148107,1.1285152741215,-0.0100406794723334,0.0345478638381709,4936336.78291853,-24507672.6171636,138060467.551949,-516346.849499826
88.36,8072.08876076737,30716.304266215,358.707189894636,830.339530003986,1.12841486732678,-0.0100536902486727,0.0345962002057552,4935953.03929499,-24433959.1662783,138060567.442323,-514791.151818485
88.37,8075.67583266631,30724.607661515,358.825906905457,830.495520914038,1.12831433042429,-0.0100666621540842,0.0346446534991391,4935569.29564092,-24359996.6715263,138060667.304501,-513230.223125377
88.38,8079.26409173537,30732.9126167242,358.944661585399,830.651518853902,1.12821366380275,-0.0100795950549575,0.0346932232845494,4935185.55195983,-24285785.8001311,138060767.187003,-511664.077558524
88.39,8082.85353835122,30741.2191319127,359.063453981495,830.807523801672,1.1281128678522,-0.0100924888180727,0.0347419091269583,4934801.80825187,-24211327.2216298,138060867.089217,-510092.729304381
88.4,8086.44417289104,30749.5272071507,359.182284140698,830.963535735569,1.12801194296402,-0.0101053433105605,0.0347907105901806,4934418.06451701,-24136621.6078644,138060967.01053,-508516.19259767
88.41,8090.03599573244,30757.8368425081,359.30115210984,831.119554633848,1.12791088953091,-0.010118158399904,0.0348396272368821,4934034.32075525,-24061669.632978,138061066.95033,-506934.4817213
88.42,8093.62900725354,30766.1480380544,359.420057935634,831.275580474805,1.12780970794692,-0.0101309339539392,0.0348886586285839,4933650.57696659,-23986471.9734057,138061166.908001,-505347.611006176
88.43,8097.2232078329,30774.4607938592,359.539001664664,831.431613236773,1.12770839860738,-0.0101436698408568,0.0349378043256656,4933266.83315102,-23911029.3078705,138061266.882939,-503755.594152222
88.44,8100.81859784954,30782.7751099915,359.657983343397,831.587652898121,1.12760696190897,-0.0101563659291824,0.0349870638873699,4932883.08930853,-23835342.3173782,138061366.874599,-502158.43816669
88.45,8104.41517768298,30791.0909865205,359.777003017756,831.743699436293,1.12750539824968,-0.0101690220871251,0.0350364368718035,4932499.34543913,-23759411.6852095,138061466.882289,-500556.165678183
88.46,8108.01294771316,30799.4084235149,359.896060733732,831.899752829171,1.1274037080288,-0.0101816381836908,0.0350859228359208,4932115.60154282,-23683238.0969263,138061566.905395,-498948.791208969
88.47,8111.61190832049,30807.7274210432,360.015156537419,832.055813055242,1.12730189164697,-0.0101942140884998,0.0351355213355664,4931731.85761959,-23606822.2403572,138061666.943302,-497336.329328773
88.48,8115.21205988587,30816.0479791737,360.134290474781,832.211880093029,1.12719994950608,-0.0102067496715335,0.0351852319254635,4931348.11366944,-23530164.8055893,138061765.740417,-495718.794654595
88.49,8118.81340279062,30824.3700979746,360.253462590678,832.367953918822,1.12709788200937,-0.0102192448020816,0.0352350541592175,4930964.36968889,-23453266.4849579,138061864.454776,-494096.201850477
88.5,8122.41593741652,30832.6937775138,360.372672929656,832.52403450875,1.12699568956135,-0.0102316993507669,0.0352849875894081,4930580.62568116,-23376127.9730632,138061963.181838,-492468.56562792
88.51,8126.01966414582,30841.0190178589,360.491921537222,832.680121841282,1.12689337256784,-0.0102441131886573,0.0353350317674141,4930196.88164653,-23298749.9667439,138062061.920989,-490835.900745254
88.52,8129.62458336119,30849.3458190773,360.611208458837,832.836215895098,1.12679093143595,-0.0102564861871859,0.0353851862435013,4929813.13758499,-23221133.1650694,138062160.671614,-489198.222007502
88.53,8133.23069544578,30857.6741812363,360.730533739836,832.992316648921,1.12668836657408,-0.0102688182181527,0.0354354505668335,4929429.39349656,-23143278.2693373,138062259.433097,-487555.544266327
88.54,8136.83800078318,30866.0041044028,360.849897425426,833.148424081514,1.1265856783919,-0.0102811091537256,0.0354858242854783,4929045.64938123,-23065185.9830619,138062358.204824,-485907.882419772
88.55,8140.44649975743,30874.3355886436,360.969299560686,833.30453817168,1.12648286730036,-0.0102933588664416,0.035536306946409,4928661.90523903,-22986857.0119709,138062456.98618,-484255.251412214
88.56,8144.05619275304,30882.6686340253,361.088740190568,833.460658898265,1.1263799337117,-0.0103055672292083,0.0355868980955094,4928278.16106995,-22908292.0639996,138062555.77655,-482597.666234224
88.57,8147.66708015494,30891.0032406143,361.208219359894,833.616786240154,1.1262768780394,-0.0103177341153044,0.0356375972775784,4927894.41687402,-22829491.8492824,138062654.575318,-480935.141922387
88.58,8151.27916234854,30899.3394084767,361.327737113355,833.772920176274,1.12617370069825,-0.0103298593983817,0.0356884040363341,4927510.67265123,-22750457.0801475,138062753.381871,-479267.693559196
88.59,8154.89243971968,30907.6771376785,361.447293495516,833.929060685594,1.12607040210427,-0.0103419429524655,0.0357393179144163,4927126.92840161,-22671188.4711112,138062852.195603,-477595.335284233
88.6,8158.50691265463,30916.0164282853,361.56688855081,834.085207747126,1.12596698267474,-0.010353984651926,0.0357903384533931,4926743.18412516,-22591686.7388688,138062949.788482,-475918.075939868
88.61,8162.12258154014,30924.3572803628,361.686522322578,834.241361337702,1.12586344282822,-0.0103659843702687,0.0358414651937602,4926359.4398185,-22511952.6022916,138063047.281431,-474235.938124527
88.62,8165.73944676336,30932.6996939762,361.806194853852,834.397521433974,1.12575978298452,-0.010377941982557,0.0358926976750196,4925975.69548474,-22431986.782441,138063144.779456,-472548.9371037
88.63,8169.3575087119,30941.0436691905,361.925906188577,834.553688014886,1.1256560035647,-0.0103898573643229,0.0359440354355389,4925591.95112421,-22351790.0025408,138063242.281943,-470857.088188098
88.64,8172.97676777379,30949.3892060706,362.045656370662,834.709861059619,1.12555210499105,-0.0104017303914777,0.035995478012621,4925208.20673692,-22271362.9879701,138063339.788279,-469160.406733514
