t,x,y,vx,vy,theta
9.199999999999983,1225.4148673366012,1075.266666666662,-77.69872743682131,-42.333333333333115,0.22743489339413198
9.299999999999983,1217.6573110181687,1071.0374999999954,-77.45239893183007,-42.24999999999978,0.22743489339413198
9.399999999999983,1209.9243875502352,1066.816666666662,-77.20607042683882,-42.166666666666444,0.22743489339413206
9.499999999999982,1202.2160969328008,1062.604166666662,-76.95974192184757,-42.08333333333311,0.22743489339413203
9.599999999999982,1194.5324391658655,1058.3999999999953,-76.71341341685633,-41.99999999999977,0.22743489339413198
9.699999999999982,1186.8734142494295,1054.2041666666619,-76.46708491186507,-41.91666666666644,0.22743489339413203
9.799999999999981,1179.2390221834926,1050.0166666666619,-76.22075640687383,-41.8333333333331,0.22743489339413198
9.89999999999998,1171.6292629680547,1045.837499999995,-75.97442790188258,-41.749999999999766,0.22743489339413203
9.99999999999998,1164.044136603116,1041.6666666666617,-75.72809939689134,-41.66666666666643,0.22743489339413198
10.09999999999998,1156.4836430886764,1037.5041666666616,-75.48177089190008,-41.583333333333094,0.22743489339413206
10.19999999999998,1148.947782424736,1033.349999999995,-75.23544238690883,-41.49999999999976,0.22743489339413203
10.29999999999998,1141.4365546112947,1029.2041666666616,-74.98911388191759,-41.41666666666642,0.22743489339413198
10.399999999999979,1133.9499596483524,1025.0666666666616,-74.74278537692635,-41.33333333333309,0.22743489339413203
10.499999999999979,1126.4879975359092,1020.937499999995,-74.4964568719351,-41.24999999999975,0.22743489339413206
10.599999999999978,1119.0506682739654,1016.8166666666617,-74.25012836694384,-41.166666666666416,0.22743489339413206
10.699999999999978,1111.6379718625205,1012.7041666666618,-74.00379986195259,-41.08333333333308,0.22743489339413203
10.799999999999978,1104.2499083015748,1008.5999999999951,-73.75747135696135,-40.999999999999744,0.22743489339413198
10.899999999999977,1096.8864775911281,1004.5041666666618,-73.5111428519701,-40.91666666666641,0.22743489339413203
10.999999999999977,1089.5476797311808,1000.4166666666619,-73.26481434697885,-40.83333333333307,0.22743489339413211
11.099999999999977,1082.2335147217325,996.3374999999953,-73.0184858419876,-40.74999999999974,0.22743489339413203
11.199999999999976,1074.9439825627833,992.2666666666621,-72.77215733699636,-40.6666666666664,0.22743489339413195
11.299999999999976,1067.6790832543331,988.2041666666622,-72.52582883200512,-40.583333333333066,0.22743489339413203
11.399999999999975,1060.438816796382,984.1499999999957,-72.27950032701386,-40.49999999999973,0.22743489339413206
11.499999999999975,1053.2231831889303,980.1041666666624,-72.03317182202261,-40.416666666666394,0.22743489339413206
11.599999999999975,1046.0321824319776,976.0666666666625,-71.78684331703136,-40.33333333333306,0.22743489339413206
11.699999999999974,1038.865814525524,972.0374999999959,-71.54051481204012,-40.24999999999972,0.22743489339413203
11.799999999999974,1031.7240794695695,968.0166666666627,-71.29418630704888,-40.16666666666639,0.22743489339413206
11.899999999999974,1024.6069772641142,964.0041666666627,-71.04785780205762,-40.08333333333305,0.22743489339413214
11.999999999999973,1017.5145079091579,959.9999999999961,-70.80152929706637,-39.999999999999716,0.22743489339413206
12.099999999999973,1010.4466714047009,956.0041666666629,-70.55520079207513,-39.91666666666638,0.22743489339413203
12.199999999999973,1003.4034677507428,952.0166666666629,-70.30887228708389,-39.833333333333044,0.22743489339413206
12.299999999999972,996.384896947284,948.0374999999963,-70.06254378209263,-39.74999999999971,0.22743489339413214
12.399999999999972,989.3909589943243,944.066666666663,-69.81621527710138,-39.66666666666637,0.22743489339413211
