time,x,y,vx,vy,theta,theta_dot,alpha,MomentsApplied,ParallelThrust,PerpendicularThrust
0.94,-0.0391005738243936,1.92611556516203,-0.0844444739510761,5.01748935748563,1.57008233811922,-0.00157295042199,0.0175424254357628,-36748436.8105687,131671040.401211,-773203.639107575
0.95,-0.0399450185639044,1.97629045873689,-0.0852879863378068,5.08241697593891,1.570066608615,-0.00159007269181748,0.0175091328460175,-36739613.2382972,131671080.919319,-773022.950009539
0.96,-0.0407978984272825,2.02711462849628,-0.0861287865116628,5.14735240000848,1.57005070788808,-0.00160719130806979,0.0174766959776049,-36730502.8034931,131671122.025316,-772836.222797252
0.97,-0.0416591862923991,2.07858815249636,-0.0869668388190334,5.21229563125707,1.570034635975,-0.00162430613694151,0.0174450825855568,-36721105.572806,131671163.719171,-772643.458756778
0.98,-0.0425288546805894,2.13071110880893,-0.0878021076084322,5.27724667124578,1.57001839291363,-0.0016414170446496,0.0174142620035183,-36711421.6151924,131671206.000852,-772444.659222765
0.99,-0.0434068757566737,2.18348357552139,-0.0886345572307709,5.34220552153385,1.57000197874318,-0.00165852389743446,0.0173842050482147,-36701451.0019207,131671248.870325,-772239.825578533
1,-0.0442932213289815,2.23690563073673,-0.089464152039635,5.40717218367844,1.56998539350421,-0.00167562656156087,0.0173548839307744,-36691193.806565,131671292.327551,-772028.959255952
1.01,-0.0451878628493778,2.29097735257352,-0.0902908563915777,5.4721466592356,1.56996863723859,-0.00169272490331943,0.0173262721743335,-36680650.105009,131671336.372488,-771812.061735531
1.02,-0.0460907714132936,2.34569881916587,-0.0911146346463887,5.53712894975965,1.56995170998956,-0.00170981878902744,0.0172983445374151,-36669819.9754443,131671381.005093,-771589.134546374
1.03,-0.0470019177597575,2.40107010866347,-0.0919354511673721,5.60211905680314,1.56993461180167,-0.00172690808502996,0.0172710769426145,-36658703.4983697,131671426.225377,-771360.175570644
1.04,-0.0479212722714312,2.4570912992315,-0.0927532703216245,5.66711698191685,1.56991734272082,-0.00174399265764985,0.017244446410164,-36647300.7565898,131671472.03352,-771125.171611201
1.05,-0.0488488049746474,2.51376246905067,-0.0935680564757367,5.7321227266498,1.56989990279424,-0.001761072373035,0.0172184309951984,-36635611.835218,131671518.429181,-770884.142875469
1.06,-0.0497844855394048,2.57108369631717,-0.0943797739822881,5.79713629254947,1.56988229207051,-0.00177814709762043,0.0171930097276276,-36623636.8216758,131671565.412303,-770637.091087457
1.07,-0.0507282832792277,2.62905505924266,-0.0951883872214369,5.8621576811611,1.56986451059954,-0.00179521669787328,0.017168162565393,-36611375.8056912,131671612.982829,-770384.018019745
1.08,-0.0516801671514421,2.68767663605427,-0.095993860578248,5.92718689402807,1.56984655843256,-0.00181228104029382,0.0171438703399385,-36598828.8792982,131671661.140696,-770124.925493487
1.09,-0.0526401057572245,2.74694850499455,-0.0967961584429712,5.99222393269184,1.56982843562215,-0.0018293399914166,0.0171201147090438,-36585996.1368326,131671709.885839,-769859.815378317
1.1,-0.0536080673416542,2.80687074432147,-0.0975952452113196,6.0572687986919,1.56981014222224,-0.00184639341781148,0.017096878112679,-36572877.6749347,131671759.218192,-769588.689592411
1.11,-0.0545840197937674,2.86744343230839,-0.0983910852847476,6.12232149356581,1.56979167828806,-0.00186344118608472,0.0170741437316591,-36559473.5925481,131671809.137684,-769311.550102458
1.12,-0.0555679306466149,2.92866664724405,-0.0991836430707295,6.18738201884912,1.5697730438762,-0.00188048316288006,0.0170518954488899,-36545783.9909171,131671859.644241,-769028.398923615
1.13,-0.0565597670773222,2.99054046743254,-0.0999728829830373,6.25245037607533,1.56975423904457,-0.00189751921487978,0.017030117813023,-36531808.97359,131671910.737789,-768739.238119572
1.14,-0.0575594959071526,3.05306497119329,-0.100758769442019,6.31752656677595,1.56973526385242,-0.0019145492088058,0.0170087960043408,-36517548.6464136,131671962.418246,-768444.069802438
