time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],mass[kg],mass_propellant[kg],gimbalangle[deg],nonnominalthrottle[0-1],u0,u1
37.600000000000264,203.0239144513025,5308.647688694809,12.660635868531761,282.8087157650382,1.4880664692007952,-0.0026304223318982835,-0.03799223999573509,7521221.623572199,3954296.296547837,-6.367683884035201,0.4485705948349783,-0.909669126290743,-0.1028588103300434
37.700000000000266,204.29395741483836,5336.973282143327,12.700429635358729,283.25593448518237,1.4878002499469103,-0.0026621925388507933,-0.038188793283767675,7518099.241632043,3951173.914607682,-6.357343730715232,0.4485738539729067,-0.9081919615307474,-0.10285229205418656
37.80000000000027,205.56801226910844,5365.343675697034,12.740548542700829,283.7039355370652,1.4875306213611357,-0.002696285857743723,-0.03838795580956278,7514976.697486286,3948051.370461924,-6.3477058357417135,0.44864280085230357,-0.9068151193916733,-0.10271439829539286
37.90000000000027,206.84611364413382,5393.758953649636,12.781013750253853,284.15277952601724,1.4872573774794198,-0.0027324388171584262,-0.03858987317989282,7511853.858676615,3944928.5316522536,-6.338850985317574,0.44877371905308605,-0.9055501407596533,-0.1024525618938279
38.00000000000027,208.1282983374503,5422.219206003837,12.821846933164826,284.6025235420092,1.4869803398881998,-0.0027703759122000267,-0.03879466154623623,7508730.600288306,3941805.273263945,-6.330847296697255,0.44896315058557734,-0.9044067566710363,-0.10207369882884532
38.10000000000027,209.4146053533204,5450.724528145791,12.86307015870094,285.0532214195358,1.4866993586572113,-0.0028098123098884184,-0.039002407159226087,7505606.804414447,3938681.4773900853,-6.323750097631023,0.44920787788040206,-0.9033928710901461,-0.10158424423919588
38.20000000000027,210.70507592921237,5479.275020543934,12.904705758919537,285.5049239814316,1.4864143129988503,-0.0028504565836077363,-0.039213166203917245,7502482.359656742,3935557.0326323803,-6.317601915002271,0.4495049069069945,-0.9025145592860387,-0.10099018618601097
38.300000000000274,211.99975354928884,5507.870788470678,12.946776200764766,285.9576792674407,1.486125111653745,-0.0028920134510546165,-0.03942696491123132,7499357.1606606925,3932431.8336363314,-6.31243257039096,0.44985145135985727,-0.9017760814844227,-0.10029709728028546
38.400000000000276,213.29868394478885,5536.51194174551,12.98930395499999,286.4115327483172,1.4858316930046793,-0.0029341864906585833,-0.03964379993854772,7496231.107683083,3929305.7806587224,-6.30825937942303,0.45024491785520926,-0.9011799113461472,-0.09951016428958148
38.50000000000028,214.60191508132448,5565.198594498129,13.032311365356268,286.86652752618625,1.4855340249234592,-0.0029766808121975425,-0.03986363901013412,7493104.106189798,3926178.7791654365,-6.3050874509156,0.4506828920837669,-0.9007267787022285,-0.09863421583246623
38.60000000000028,215.9094971332482,5593.930864950315,13.075820519237341,287.32270452185554,1.4852321043576313,-0.003019205658282726,-0.04008642180596866,7489976.066482106,3923050.7394577456,-6.302910081046009,0.45116312586818585,-0.9004157258637154,-0.09767374826362829
38.70000000000028,217.22148244537527,5622.708875215288,13.11985312127062,287.7801026497272,1.4849259566661783,-0.003061476914527077,-0.040312061085511,7486846.903349664,3919921.5763253034,-6.301709237047524,0.45168352507664933,-0.9002441767210748,-0.09663294984670134
38.80000000000028,218.53792548246852,5651.53275111338,13.16443037093262,288.238758980924,1.4846156347154251,-0.0031032195075288167,-0.04054044403115831,7483716.535748538,3916791.2087241765,-6.30145612425638,0.45224213834662796,-0.9002080177509114,-0.09551572330674407
38.90000000000028,219.85888276700922,5680.402622002901,13.209572845406857,288.6987088952101,1.4843012177482977,-0.0031441696712761207,-0.0407714337944709,7480584.88650269,3913659.559478329,-6.3021118297469005,0.45283714657540663,-0.900301689963843,-0.09432570684918673
