time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg],gimbalangle[deg],nonnominalthrottle[0-1],u0,u1
4.200000000000001,0.7987907602324525,60.972878300492475,1.0874794534004248,27.890984693271566,1.553067957558842,0.005012876241602298,87.76714813357823,0.021242247542306192,8910138.757157555,5343213.430133194,-1.0105879658383592,1.0,-0.14436970940547988,1.0
4.300000000000001,0.911302506068983,63.830160722719945,1.1251174583653047,28.572824222274704,1.5535942460988483,0.005262885400060294,87.74501835946045,0.022154773503390235,8905821.692960227,5338896.365935866,-0.827005868884064,1.0,-0.11814369555486628,1.0
4.4,1.0272856747454564,66.75571755294717,1.1598316867647331,29.255568302272234,1.5541396167432826,0.005453706444341603,87.72970815399634,0.02296735764232971,8901504.586728211,5334579.259703851,-0.6401582592212778,1.0,-0.09145117988875397,1.0
4.5,1.14644248031011,69.74963854412631,1.1915680556465378,29.939209911791348,1.5546980970481634,0.005584803048810578,87.7208547808036,0.023680358459331696,8897187.448959911,5330262.121935551,-0.45181222283012323,1.0,-0.06454460326144618,1.0
4.6,1.268472586698941,72.81201265169466,1.2203010638883085,30.623741075683448,1.5552637155211722,0.0056561847300845075,87.71807341981511,0.024294520839275968,8892870.290554041,5325944.963529681,-0.2637116316756303,1.0,-0.037673090239375755,1.0
4.699999999999999,1.393075931258049,75.942927974413,1.2460334455910798,31.309153227183394,1.5558305550637164,0.005668395425446147,87.72096035486396,0.024810973859927143,8888553.122407034,5321627.795382673,-0.07756216864939583,1.0,-0.011080309807056548,1.0
4.799999999999999,1.5199554888388642,79.1424717309431,1.2687955758081528,31.995437565301035,1.5563928048145643,0.005622497508476612,87.72909619623472,0.025231226391435158,8884235.955027558,5317310.628003196,0.10498298857556414,1.0,0.014997569796509161,1.0
4.899999999999999,1.6488199527115002,82.410730270457,1.2886446387263604,32.68258539513892,1.5569448099624796,0.0055200514791523825,87.74204911229148,0.025557160506425536,8879918.798181148,5312993.471156785,0.2823367229036799,1.0,0.04033381755766855,1.0
4.999999999999998,1.7793863097569627,85.74778911444959,1.3056635704546244,33.370588439925925,1.5574811191224496,0.005363091599699771,87.75937804558656,0.025791022724537926,8875601.660576345,5308676.333551982,0.4529906777270217,1.0,0.0647129539610031,1.0
5.099999999999998,1.9113822888023861,89.15373302595926,1.3199597904542348,34.05943911509663,1.5579965289002913,0.005154097778417032,87.78063589020303,0.025935413121944695,8871284.549601804,5304359.2225774415,0.6155270138857019,1.0,0.08793243055510025,1.0
